Status,Business Name,Industry,Location,Phone,Est. Size,Current Web Presence,Why They Need a Site,Competitors With Websites,Pitch Angle,Email
NEEDS VERIFICATION,Bittersweet Bakery & Cafe,Bakery/Cafe,"Deerfield, MA",N/A,Small business,Facebook page,"Homemade baked goods, local ingredients",,Verify no website exists,
NEEDS VERIFICATION,Small Oven,Bakery,"Easthampton, MA",N/A,Small business,Facebook page,"Artisan breads, pastries, cakes",,Verify no website exists,smalloven1@gmail.com
NEEDS VERIFICATION,A&B BBQ and Pot Pies,Catering/BBQ,"Salem, MA",N/A,Small business,Facebook page,BBQ catering of all kinds,,Verify no website exists,
NEEDS VERIFICATION,Mr. Jack's Catering Service Inc.,Catering,"Lowell, MA",N/A,Small business,Facebook page,"Banquets, outings, pig roasts, clam bakes",,Verify no website exists,jhoran@mrjackscatering.com
NEEDS VERIFICATION,Every Little Breeze Catering,Catering,"Marblehead, MA",N/A,Small business,Facebook page,Full service catering,,Verify no website exists,
NEEDS VERIFICATION,Florence Towing & Auto Repair,Towing/Auto,"Florence, MA",N/A,Family business,Facebook page,"24hr towing, auto repair, propane",,Verify no website exists,florencetowing@gmail.com
NEEDS VERIFICATION,Central Mass Towing,Towing,"Auburn, MA",N/A,"Family owned, 20+ years",Facebook page,Local and long distance towing,,Verify no website exists,billy@centralmasstowing.com
NEEDS VERIFICATION,LesleyLola's Cleaning Service LLC,Cleaning,"Springfield, MA",N/A,Small business,Facebook page,"Deep clean, move in/out, decluttering",,Verify no website exists,lesley@lesleylola.com
NEEDS VERIFICATION,Lucy's Maid Cleaning Services,Cleaning,"Hyannis, MA",N/A,Small business,Facebook page,Residential cleaning on Cape Cod,,Verify no website exists,
NEEDS VERIFICATION,Cleto Towing Service LLC,Towing,"Passaic, NJ",N/A,Small business,Facebook page,Towing services,,Verify no website exists,
NEEDS VERIFICATION,Top Gun Autobody & Towing,Auto Body/Towing,"North Bergen, NJ",N/A,Small business,Facebook page,Auto body and towing,,Verify no website exists,topgunautobody@gmail.com
NEEDS VERIFICATION,Johns Main Auto Body,Auto Body,"North Bergen, NJ",N/A,"Family business, since 1978",Facebook page,"Towing, mechanic, auto body since 1978",,Verify no website exists,office@johnsmainautobody.com
NEEDS VERIFICATION,Elena's Cleaning Service,Cleaning,"North Bergen, NJ",N/A,Small business,Facebook page,Residential cleaning,,Verify no website exists,info@elenascleaningnj.com
NEEDS VERIFICATION,Home Sweet Home Cleaning,Cleaning,"Fort Lee, NJ",N/A,Small business,Facebook page,Bergen County cleaning service,,Verify no website exists,hshcleaningservicenj@gmail.com
NEEDS VERIFICATION,Diana Flowers,Florist,"Passaic, NJ",N/A,Small business,Facebook page,Local florist,,Verify no website exists,dianaflower27@gmail.com
NEEDS VERIFICATION,Las Flores de Guadalupe,Florist,"Passaic, NJ",N/A,Small business,Facebook page,Flower shop,,Verify no website exists,manuelramirez10m@gmail.com
NEEDS VERIFICATION,Flor de Maria NJ,Florist,"Passaic, NJ",N/A,Small business,Facebook page,Florist,,Verify no website exists,
NEEDS VERIFICATION,Selena Bakery,Bakery,"Passaic, NJ",N/A,Small business,Facebook page,Local bakery,,Verify no website exists,
NEEDS VERIFICATION,Velas Bakery,Bakery,"Passaic/Elmwood Park, NJ",N/A,Small business,Facebook page,Handmade cannolis and sfogliatelle,,Verify no website exists,velasbakery@gmail.com
NEEDS VERIFICATION,Sara's Bakery,Bakery,"North Bergen, NJ",N/A,Small business,Facebook page,Local bakery,,Verify no website exists,saraidiazsolis28@gmail.com
NEEDS VERIFICATION,Castro's Barbershop,Barber,"North Bergen, NJ",(201) 220-1892,Small shop,Facebook page,Barbershop,,Verify no website exists,castrosbshop@gmail.com
NEEDS VERIFICATION,Aquilino Barbershop,Barber,"Passaic, NJ",N/A,Small shop,Facebook page,Local barbershop,,Verify no website exists,
NEEDS VERIFICATION,D'Mary Beauty Salon,Beauty Salon,"Passaic, NJ",N/A,Small salon,Facebook page,Beauty salon,,Verify no website exists,
NEEDS VERIFICATION,Heena Beauty Salon,Beauty Salon,"Passaic, NJ",N/A,Small salon,Facebook page,Beauty salon,,Verify no website exists,
NEEDS VERIFICATION,Kozel Home Improvements,Home Improvement,"North Bergen, NJ",N/A,Small business,Facebook page,Home improvements in NY/NJ,,Verify no website exists,kozelpro@icloud.com
NEEDS VERIFICATION,O'Brien's Construction LLC,Construction,"Waldwick, NJ",N/A,Small business,Facebook page,Carpentry and renovations,,Verify no website exists,mobriensconstruction@gmail.com
NEEDS VERIFICATION,Tacos el Pechy's,Food Truck,"Passaic, NJ",N/A,Small food truck,Facebook page,Mexican food truck,,Verify no website exists,tacoselpechys635456@gmail.com
NEEDS VERIFICATION,Mountainside Landscaping LLC,Landscaping,"Newfoundland, NJ",N/A,Small business,Facebook page,Reliable and affordable landscaping,,Verify no website exists,mountainside.landscaping@yahoo.com
